2000000,48,79,1.0,Devil's Delight Blazing Hot Sausage
2000001,48,80,1.0,Pivotal Stomach Calmer
2000002,52,80,1.0,Pivotal Stomach Calmer
2000003,65,79,1.0,Devil's Delight Blazing Hot Sausage
2000004,65,80,1.0,Pivotal Stomach Calmer
2000005,85,80,1.0,Pivotal Stomach Calmer
2000006,145,79,1.0,Devil's Delight Blazing Hot Sausage
2000007,145,80,1.0,Pivotal Stomach Calmer
2000008,153,79,1.0,Devil's Delight Blazing Hot Sausage
2000009,165,80,1.0,Pivotal Stomach Calmer
2000010,189,80,1.0,Pivotal Stomach Calmer
2000011,197,80,1.0,Pivotal Stomach Calmer
2000012,205,80,1.0,Pivotal Stomach Calmer
2000013,217,79,1.0,Devil's Delight Blazing Hot Sausage
2000014,249,79,1.0,Devil's Delight Blazing Hot Sausage
2000015,261,79,1.0,Devil's Delight Blazing Hot Sausage
2000016,261,80,1.0,Pivotal Stomach Calmer
2000017,301,79,1.0,Devil's Delight Blazing Hot Sausage
2000018,301,80,1.0,Pivotal Stomach Calmer
2000019,322,79,1.0,Devil's Delight Blazing Hot Sausage
2000020,322,80,1.0,Pivotal Stomach Calmer
2000021,326,79,1.0,Devil's Delight Blazing Hot Sausage
2000022,330,79,1.0,Devil's Delight Blazing Hot Sausage
2000023,330,80,1.0,Pivotal Stomach Calmer
2000024,338,80,1.0,Pivotal Stomach Calmer
2000025,346,79,1.0,Devil's Delight Blazing Hot Sausage
2000026,346,80,1.0,Pivotal Stomach Calmer
2000027,382,79,1.0,Devil's Delight Blazing Hot Sausage
2000028,382,80,1.0,Pivotal Stomach Calmer
2000029,410,79,1.0,Devil's Delight Blazing Hot Sausage
2000030,410,80,1.0,Pivotal Stomach Calmer
2000031,414,79,1.0,Devil's Delight Blazing Hot Sausage
2000032,414,80,1.0,Pivotal Stomach Calmer
2000033,438,80,1.0,Pivotal Stomach Calmer
2000034,458,80,1.0,Pivotal Stomach Calmer
2000035,462,79,1.0,Devil's Delight Blazing Hot Sausage
2000036,462,80,1.0,Pivotal Stomach Calmer
2000037,466,79,1.0,Devil's Delight Blazing Hot Sausage
2000038,466,80,1.0,Pivotal Stomach Calmer
2000039,494,79,1.0,Devil's Delight Blazing Hot Sausage
2000040,494,80,1.0,Pivotal Stomach Calmer
2000041,510,79,1.0,Devil's Delight Blazing Hot Sausage
2000042,510,80,1.0,Pivotal Stomach Calmer
2000043,518,80,1.0,Pivotal Stomach Calmer
2000044,530,80,1.0,Pivotal Stomach Calmer
2000045,542,79,1.0,Devil's Delight Blazing Hot Sausage
2000046,570,80,1.0,Pivotal Stomach Calmer
2000047,631,79,1.0,Devil's Delight Blazing Hot Sausage
2000048,631,80,1.0,Pivotal Stomach Calmer
2000049,635,80,1.0,Pivotal Stomach Calmer
2000050,647,79,1.0,Devil's Delight Blazing Hot Sausage
2000051,667,79,1.0,Devil's Delight Blazing Hot Sausage
2000052,667,80,1.0,Pivotal Stomach Calmer
2000053,747,79,1.0,Devil's Delight Blazing Hot Sausage
2000054,747,80,1.0,Pivotal Stomach Calmer
2000055,763,79,1.0,Devil's Delight Blazing Hot Sausage
2000056,779,79,1.0,Devil's Delight Blazing Hot Sausage
2000057,840,79,1.0,Devil's Delight Blazing Hot Sausage
2000058,840,80,1.0,Pivotal Stomach Calmer
2000059,844,80,1.0,Pivotal Stomach Calmer
2000060,848,79,1.0,Devil's Delight Blazing Hot Sausage
2000061,848,80,1.0,Pivotal Stomach Calmer
2000062,856,79,1.0,Devil's Delight Blazing Hot Sausage
2000063,884,79,1.0,Devil's Delight Blazing Hot Sausage
2000064,884,80,1.0,Pivotal Stomach Calmer
2000065,892,79,1.0,Devil's Delight Blazing Hot Sausage
2000066,944,79,1.0,Devil's Delight Blazing Hot Sausage
2000067,948,79,1.0,Devil's Delight Blazing Hot Sausage
2000068,952,79,1.0,Devil's Delight Blazing Hot Sausage
2000069,952,80,1.0,Pivotal Stomach Calmer
