orderid,customerid,storeid,orderdate
5001,1281,9,9/24/2017
5002,1897,14,11/23/2017
5003,1701,70,6/24/2018
5004,1792,61,4/14/2018
5005,1545,9,4/27/2018
5006,1477,41,5/24/2018
5007,1549,66,4/11/2018
5008,1204,4,2/21/2018
5009,1096,97,1/9/2018
5010,1078,87,7/20/2018
5011,1629,63,11/13/2017
5012,1269,58,5/21/2018
5013,1999,28,3/21/2018
5014,1080,79,3/4/2018
5015,1590,56,5/31/2018
5016,1086,59,1/17/2018
5017,1305,27,11/19/2017
5018,1400,89,4/19/2018
5019,1865,62,11/22/2017
5020,1888,52,3/20/2018
5021,1089,99,4/6/2018
5022,1609,93,1/20/2018
5023,1082,86,6/18/2018
5024,1539,80,12/17/2017
5025,1328,72,7/17/2018
5026,1424,51,7/6/2018
5027,1436,91,5/28/2018
5028,1361,84,11/20/2017
5029,1319,27,9/9/2018
5030,1323,66,3/15/2018
5031,1766,73,2/8/2018
5032,1007,89,9/6/2018
5033,1268,95,4/8/2018
5034,1986,64,2/21/2018
5035,1859,69,1/25/2018
5036,1152,18,3/27/2018
5037,1752,50,9/16/2017
5038,1593,44,9/20/2017
5039,1337,76,5/1/2018
5040,1384,36,8/9/2018
5041,1632,91,5/15/2018
5042,1059,54,9/22/2017
5043,1731,14,12/30/2017
5044,1000,41,1/24/2018
5045,1681,22,7/12/2018
5046,1220,84,1/22/2018
5047,1474,72,6/19/2018
5048,1358,79,12/23/2017
5049,1324,30,6/29/2018
5050,1363,70,3/5/2018
5051,1192,46,7/30/2018
5052,1454,83,8/26/2018
5053,1361,29,2/7/2018
5054,1452,43,9/24/2017
5055,1858,4,8/24/2018
5056,1603,11,8/4/2018
5057,1412,84,11/4/2017
5058,1859,54,5/18/2018
5059,1640,69,3/7/2018
5060,1036,32,12/30/2017
5061,1291,38,3/2/2018
5062,1868,33,6/6/2018
5063,1586,47,6/5/2018
5064,1681,52,9/5/2018
5065,1493,75,4/24/2018
5066,1213,14,5/24/2018
5067,1882,27,4/2/2018
5068,1345,84,7/4/2018
5069,1779,64,12/23/2017
5070,1625,99,11/12/2017
5071,1493,66,5/10/2018
5072,1087,23,2/11/2018
5073,1432,55,9/21/2017
5074,1823,92,5/6/2018
5075,1228,4,3/9/2018
5076,1699,18,9/15/2017
5077,1992,97,4/24/2018
5078,1933,8,1/17/2018
5079,1588,68,2/13/2018
5080,1806,36,2/15/2018
5081,1363,26,8/1/2018
5082,1236,28,8/25/2018
5083,1682,77,2/7/2018
5084,1250,68,5/4/2018
5085,1961,86,6/15/2018
5086,1854,18,2/19/2018
5087,1999,64,5/17/2018
5088,1089,42,11/15/2017
5089,1274,24,12/13/2017
5090,1097,73,11/9/2017
5091,1316,89,11/7/2017
5092,1084,64,7/15/2018
5093,1510,72,8/20/2018
5094,1501,15,3/29/2018
5095,1496,40,7/17/2018
5096,1802,13,8/14/2018
5097,1503,31,2/4/2018
5098,1763,65,5/12/2018
5099,1821,28,5/9/2018
5100,1744,39,1/19/2018
5101,1109,88,10/19/2017
5102,1351,2,7/26/2018
5103,1280,61,10/13/2017
5104,1691,77,11/19/2017
5105,1535,59,6/8/2018
5106,1717,96,6/4/2018
5107,1976,91,9/16/2017
5108,1059,58,1/15/2018
5109,1670,90,1/9/2018
5110,1199,32,6/30/2018
5111,1625,22,12/25/2017
5112,1951,21,10/7/2017
5113,1155,80,1/6/2018
5114,1738,68,7/2/2018
5115,1959,38,6/7/2018
5116,1179,13,11/3/2017
5117,1061,88,1/20/2018
5118,1430,57,12/26/2017
5119,1703,85,9/14/2017
5120,1106,19,1/1/2018
5121,1715,9,8/22/2018
5122,1414,56,10/28/2017
5123,1878,35,3/18/2018
