orderid,customerid,storeid,orderdate
1,1666,1,7/16/2018
2,1453,53,4/22/2018
3,1689,19,12/13/2017
4,1487,23,11/19/2017
5,1876,82,2/3/2018
6,1098,17,11/5/2017
7,1016,26,5/24/2018
8,1347,65,6/18/2018
9,1640,92,3/17/2018
10,1893,28,9/17/2017
11,1181,73,3/5/2018
12,1366,90,10/7/2017
13,1154,29,7/2/2018
14,1756,99,6/23/2018
15,1639,90,1/6/2018
16,1344,79,10/10/2017
17,1203,66,5/16/2018
18,1754,65,7/30/2018
19,1862,60,6/13/2018
20,1490,56,4/7/2018
21,1400,69,5/30/2018
22,1081,96,6/5/2018
23,1497,25,12/21/2017
24,1757,58,6/13/2018
25,1347,82,12/22/2017
26,1596,26,9/26/2017
27,1188,98,11/30/2017
28,1901,79,4/24/2018
29,1360,36,4/21/2018
30,1727,17,3/27/2018
31,1478,32,2/18/2018
32,1789,37,4/26/2018
33,1464,40,5/4/2018
34,1047,76,12/2/2017
35,1430,99,2/6/2018
36,1402,8,4/14/2018
37,1130,38,1/27/2018
38,1438,63,7/16/2018
39,1595,21,12/27/2017
40,1859,14,8/21/2018
41,1820,98,3/3/2018
42,1762,83,6/30/2018
43,1052,84,2/6/2018
44,1799,45,9/25/2017
45,1126,69,10/11/2017
46,1472,38,1/9/2018
47,1222,30,1/26/2018
48,1628,21,1/16/2018
49,1212,51,7/10/2018
50,1742,72,4/17/2018
51,1571,61,6/19/2018
52,1819,10,7/27/2018
53,1624,74,7/30/2018
54,1858,76,9/26/2017
55,1640,91,12/30/2017
56,1939,50,8/5/2018
57,1615,76,7/23/2018
58,1248,94,3/23/2018
59,1566,11,12/22/2017
60,1641,48,11/7/2017
61,1535,50,1/30/2018
62,1960,47,2/4/2018
63,1975,38,5/3/2018
64,1341,49,11/28/2017
65,1769,54,9/9/2018
66,1038,14,1/20/2018
67,1446,39,12/28/2017
68,1337,53,2/23/2018
69,1027,92,6/8/2018
70,1136,41,12/27/2017
71,1124,52,4/14/2018
72,1753,52,6/2/2018
73,1653,98,3/6/2018
74,1524,21,7/17/2018
75,1565,59,3/25/2018
76,1714,15,1/8/2018
77,1159,96,6/18/2018
78,1704,22,5/18/2018
79,1428,54,8/22/2018
80,1635,57,3/13/2018
81,1628,6,8/22/2018
82,1146,61,11/19/2017
83,1112,95,8/26/2018
84,1698,28,10/12/2017
85,1611,97,5/30/2018
86,1067,78,5/19/2018
87,1217,64,10/21/2017
88,1630,86,12/5/2017
89,1500,12,2/14/2018
90,1254,76,12/28/2017
91,1721,48,6/26/2018
92,1577,7,10/27/2017
93,1357,82,12/24/2017
94,1070,70,1/9/2018
95,1239,40,11/18/2017
96,1952,5,7/10/2018
97,1593,10,1/6/2018
98,1133,36,9/27/2017
99,1186,96,9/14/2017
100,1824,45,10/26/2017
101,1347,41,11/3/2017
102,1838,8,9/22/2017
103,1262,21,3/26/2018
104,1132,16,1/9/2018
105,1101,58,3/17/2018
106,1443,97,1/3/2018
107,1173,68,11/23/2017
108,1604,73,8/22/2018
109,1032,43,2/23/2018
110,1546,89,9/7/2018
111,1183,32,2/18/2018
112,1873,47,11/30/2017
113,1366,7,10/19/2017
114,1151,45,7/30/2018
115,1059,93,10/18/2017
116,1244,57,7/30/2018
117,1927,25,8/26/2018
118,1102,91,8/31/2018
119,1386,27,11/1/2017
120,1112,24,12/11/2017
121,1010,38,6/4/2018
122,1061,81,1/17/2018
123,1036,52,11/16/2017
124,1795,92,8/8/2018
125,1852,21,2/9/2018
126,1201,4,9/26/2017
127,1880,7,2/24/2018
128,1527,100,5/5/2018
129,1515,96,1/4/2018
130,1585,33,10/27/2017
131,1978,4,7/8/2018
132,1062,60,1/24/2018
133,1711,19,10/24/2017
134,1573,57,6/16/2018
135,1823,39,1/3/2018
136,1473,14,4/25/2018
137,1251,61,5/20/2018
138,1039,97,11/29/2017
139,1646,88,6/17/2018
140,1721,52,9/14/2017
141,1773,33,11/9/2017
142,1138,73,3/11/2018
143,1788,19,7/2/2018
144,1949,89,12/8/2017
145,1947,11,4/1/2018
146,1515,25,5/27/2018
147,1436,22,6/24/2018
148,1596,18,9/8/2018
149,1486,5,7/28/2018
150,1135,93,5/28/2018
151,1188,39,3/17/2018
152,1049,59,1/15/2018
153,1425,33,7/23/2018
154,1074,51,11/8/2017
155,1069,8,6/5/2018
156,1056,78,9/25/2017
157,1625,48,6/29/2018
158,1174,21,5/16/2018
159,1702,28,5/19/2018
160,1115,69,2/25/2018
161,1540,57,6/18/2018
162,1105,45,5/6/2018
163,1546,34,2/19/2018
164,1320,88,6/2/2018
165,1733,99,12/5/2017
166,1248,49,7/21/2018
167,1212,44,9/27/2017
168,1166,9,8/10/2018
169,1681,58,3/27/2018
170,1553,37,11/24/2017
171,1594,89,4/14/2018
172,1785,50,9/8/2018
173,1364,27,7/19/2018
174,1147,52,1/20/2018
175,1028,100,10/29/2017
176,1469,14,2/7/2018
177,1069,96,12/16/2017
178,1430,1,7/15/2018
179,1704,52,4/11/2018
180,1911,5,10/18/2017
181,1353,87,2/1/2018
182,1625,63,6/20/2018
183,1850,36,4/30/2018
184,1224,80,8/12/2018
185,1152,32,1/7/2018
186,1342,98,5/24/2018
187,1688,81,10/12/2017
188,1627,73,4/16/2018
189,1138,51,11/18/2017
190,1188,29,2/22/2018
191,1338,89,1/7/2018
192,1292,10,1/24/2018
193,1822,47,5/4/2018
194,1087,67,6/5/2018
195,1693,44,4/4/2018
196,1538,54,12/21/2017
197,1388,54,10/29/2017
198,1066,21,7/16/2018
199,1869,75,3/15/2018
200,1083,4,12/18/2017
201,1616,20,9/3/2018
202,1620,46,4/4/2018
203,1762,80,8/29/2018
204,1268,84,12/17/2017
205,1624,43,7/15/2018
206,1680,61,6/25/2018
207,1981,10,2/25/2018
208,1488,8,9/4/2018
209,1364,50,5/7/2018
210,1951,58,12/19/2017
211,1885,70,10/3/2017
212,1898,55,4/22/2018
213,1506,46,5/16/2018
214,1736,22,11/18/2017
215,1204,81,2/3/2018
216,1267,52,4/27/2018
217,1903,98,9/26/2017
218,1049,72,1/21/2018
219,1333,84,1/10/2018
220,1487,25,6/18/2018
221,1894,73,1/3/2018
222,1817,98,9/27/2017
223,1877,81,5/1/2018
224,1095,27,7/17/2018
225,1659,99,5/25/2018
226,1737,9,8/29/2018
227,1191,94,4/25/2018
228,1001,32,3/13/2018
229,1082,98,5/27/2018
230,1536,23,12/7/2017
231,1610,14,1/13/2018
232,1211,18,8/31/2018
233,1480,98,8/12/2018
234,1746,11,9/23/2017
235,1336,16,10/11/2017
236,1745,19,2/16/2018
237,1601,65,8/20/2018
238,1303,75,4/21/2018
239,1907,55,3/18/2018
240,1256,48,9/23/2017
241,1859,8,12/14/2017
242,1576,100,6/25/2018
243,1618,97,7/20/2018
244,1332,16,5/27/2018
245,1046,17,2/5/2018
246,1878,56,8/24/2018
247,1597,84,2/10/2018
248,1377,98,11/27/2017
249,1208,47,11/14/2017
250,1569,24,7/19/2018
251,1973,52,8/2/2018
252,1890,17,1/20/2018
253,1497,69,11/13/2017
254,1134,38,10/10/2017
255,1278,71,4/17/2018
256,1788,89,6/16/2018
257,1633,87,12/21/2017
258,1218,76,3/19/2018
259,1343,79,1/15/2018
260,1746,21,12/19/2017
261,1098,29,1/1/2018
262,1360,58,4/20/2018
263,1779,16,10/27/2017
264,1336,35,5/28/2018
265,1441,5,6/17/2018
266,1451,91,1/5/2018
267,1367,57,8/6/2018
268,1117,71,11/12/2017
269,1761,30,8/4/2018
270,1326,67,8/30/2018
271,1581,59,4/10/2018
272,1525,25,2/12/2018
273,1214,88,8/19/2018
274,1775,17,2/13/2018
275,1214,27,2/18/2018
276,1194,89,5/17/2018
