orderid,customerid,storeid,orderdate
2001,1662,81,4/2/2018
2002,1806,63,6/28/2018
2003,1943,8,6/18/2018
2004,1491,32,6/25/2018
2005,1015,21,11/8/2017
2006,1497,71,8/19/2018
2007,1574,69,12/30/2017
2008,1223,7,2/18/2018
2009,1657,47,11/28/2017
2010,1885,94,9/25/2017
2011,1919,31,10/24/2017
2012,1020,14,6/3/2018
2013,1752,23,7/15/2018
2014,1952,29,3/13/2018
2015,1482,5,8/28/2018
2016,1253,84,2/3/2018
2017,1101,80,2/27/2018
2018,1824,84,4/11/2018
2019,1401,38,6/18/2018
2020,1644,10,9/28/2017
2021,1862,24,2/24/2018
2022,1011,32,4/18/2018
2023,1577,74,7/15/2018
2024,1502,25,3/25/2018
2025,1222,13,4/4/2018
2026,1837,23,8/19/2018
2027,1104,94,3/11/2018
2028,1830,71,7/9/2018
2029,1978,11,9/22/2017
2030,1039,99,10/16/2017
2031,1526,1,7/2/2018
2032,1007,83,6/4/2018
2033,1128,18,11/1/2017
2034,1513,95,3/8/2018
2035,1595,60,4/28/2018
2036,1527,32,9/19/2017
2037,1512,82,6/8/2018
2038,1608,30,2/20/2018
2039,1181,98,8/22/2018
2040,1134,91,2/17/2018
2041,1788,21,5/3/2018
2042,1910,29,3/9/2018
2043,1287,80,5/3/2018
2044,1681,14,1/23/2018
2045,1828,76,2/11/2018
2046,1100,49,10/19/2017
2047,1860,93,6/8/2018
2048,1397,31,4/21/2018
2049,1420,28,11/14/2017
2050,1693,47,8/22/2018
2051,1931,17,8/30/2018
2052,1124,3,10/24/2017
2053,1996,84,11/29/2017
2054,1337,57,10/27/2017
2055,1310,94,1/12/2018
2056,1413,24,1/16/2018
2057,1165,10,8/25/2018
2058,1139,65,12/3/2017
2059,1147,18,3/20/2018
2060,1772,21,1/12/2018
2061,1258,62,3/8/2018
2062,1876,39,4/26/2018
2063,1009,97,8/20/2018
2064,1494,37,6/24/2018
2065,1918,100,4/25/2018
2066,1716,95,10/26/2017
2067,1180,6,2/22/2018
2068,1260,94,12/17/2017
2069,1315,15,12/30/2017
2070,1956,66,9/30/2017
2071,1912,42,7/15/2018
2072,1684,62,10/12/2017
2073,1134,98,8/29/2018
2074,1333,66,11/26/2017
2075,1171,80,2/15/2018
2076,1893,20,7/12/2018
2077,1953,7,1/1/2018
2078,1328,68,8/31/2018
2079,1229,93,12/31/2017
2080,1717,76,6/2/2018
2081,1481,97,5/12/2018
2082,1407,61,11/4/2017
2083,1233,20,9/16/2017
2084,1252,28,8/20/2018
2085,1175,47,10/20/2017
2086,1105,1,4/28/2018
2087,1699,19,10/11/2017
2088,1526,46,5/29/2018
2089,1791,58,8/6/2018
2090,1837,100,2/3/2018
2091,1785,38,10/5/2017
2092,1526,21,7/29/2018
2093,1041,82,1/14/2018
2094,1625,98,10/1/2017
2095,1664,90,5/24/2018
2096,1960,10,3/27/2018
2097,1018,62,12/25/2017
