orderid,customerid,storeid,orderdate
3001,1286,68,5/24/2018
3002,1877,54,1/27/2018
3003,1347,62,3/5/2018
3004,1626,82,1/31/2018
3005,1330,61,6/15/2018
3006,1073,92,1/5/2018
3007,1266,85,4/1/2018
3008,1473,88,7/30/2018
3009,1045,52,11/5/2017
3010,1696,56,1/2/2018
3011,1092,93,7/17/2018
3012,1088,63,11/25/2017
3013,1027,53,6/24/2018
3014,1940,30,4/25/2018
3015,1583,96,2/24/2018
3016,1434,18,4/6/2018
3017,1118,94,3/5/2018
3018,1104,99,8/9/2018
3019,1505,31,12/21/2017
3020,1348,24,4/11/2018
3021,1490,38,8/11/2018
3022,1177,61,7/9/2018
3023,1680,33,11/30/2017
3024,1630,40,10/2/2017
3025,1703,82,4/14/2018
3026,1818,68,5/23/2018
3027,1569,81,3/8/2018
3028,1269,84,7/6/2018
3029,1124,70,9/29/2017
3030,1308,33,9/22/2017
3031,1478,1,9/28/2017
3032,1051,92,5/14/2018
3033,1067,37,12/2/2017
3034,1923,62,5/26/2018
3035,1973,2,3/24/2018
3036,1866,60,6/6/2018
3037,1753,66,2/5/2018
3038,1454,55,6/16/2018
3039,1634,70,9/25/2017
3040,1152,8,8/23/2018
3041,1422,98,7/28/2018
3042,1304,100,4/4/2018
3043,1996,44,3/23/2018
3044,1134,71,6/6/2018
3045,1955,10,10/4/2017
3046,1241,93,7/25/2018
3047,1753,58,5/4/2018
3048,1658,55,8/18/2018
3049,1200,36,9/14/2017
3050,1482,59,10/16/2017
3051,1843,65,10/11/2017
3052,1494,31,6/25/2018
3053,1751,3,8/7/2018
3054,1967,17,4/17/2018
3055,1728,44,4/10/2018
3056,1850,47,4/20/2018
3057,1604,13,9/14/2017
3058,1940,91,4/29/2018
3059,1595,79,5/24/2018
3060,1489,8,12/4/2017
3061,1536,59,7/26/2018
3062,1663,86,6/16/2018
3063,1314,42,5/9/2018
3064,1347,32,12/10/2017
3065,1088,41,6/26/2018
3066,1076,74,4/15/2018
3067,1316,100,12/23/2017
3068,1039,1,4/15/2018
3069,1663,75,5/3/2018
3070,1018,15,5/13/2018
3071,1073,64,10/20/2017
3072,1400,38,7/10/2018
3073,1260,74,5/30/2018
3074,1802,72,10/18/2017
3075,1373,39,7/20/2018
3076,1243,30,2/16/2018
3077,1492,58,9/25/2017
3078,1880,76,5/4/2018
3079,1920,84,7/23/2018
3080,1214,82,5/27/2018
3081,1323,29,2/10/2018
